"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","schoolsup","famsup","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","failures.Math","paid.Math","absences.Math","G1.Math","G2.Math","G3.Math","failures.Port","paid.Port","absences.Port","G1.Port","G2.Port","G3.Port"
"258","GP","M",16,"U","LE3","T",2,2,"other","other","home","mother",1,2,"no","no","no","yes","yes","yes","no",4,4,4,1,1,3,0,"no",0,12,12,11,0,"no",0,13,12,13
"166","GP","F",18,"U","LE3","T",1,1,"other","other","home","mother",2,2,"no","yes","no","no","yes","no","no",4,4,3,1,1,3,0,"yes",2,11,11,11,0,"no",2,13,13,13
"100","GP","F",17,"R","LE3","T",2,2,"services","services","course","mother",1,3,"no","yes","yes","yes","yes","yes","no",3,3,2,2,2,3,0,"yes",3,11,11,11,0,"no",0,11,11,10
"209","GP","M",15,"U","LE3","T",1,2,"other","at_home","home","father",1,2,"yes","yes","yes","yes","yes","yes","no",4,3,2,1,1,5,0,"no",2,9,10,9,0,"no",0,14,13,14
"362","MS","M",18,"R","LE3","T",1,2,"at_home","services","other","father",3,1,"no","yes","yes","yes","no","yes","yes",4,3,3,2,3,3,0,"yes",3,14,12,12,0,"no",3,9,10,10
"112","GP","F",17,"U","GT3","T",1,1,"services","teacher","reputation","mother",1,3,"no","yes","no","yes","yes","yes","no",4,3,3,1,1,3,0,"yes",6,13,12,12,0,"no",0,13,13,14
"307","GP","M",18,"U","GT3","T",2,1,"services","services","reputation","mother",1,3,"no","no","yes","yes","yes","yes","no",4,2,4,1,3,2,0,"yes",6,15,14,14,0,"no",0,14,15,15
"248","GP","M",16,"U","GT3","T",4,4,"services","teacher","other","father",1,3,"no","yes","yes","yes","yes","yes","yes",4,4,3,1,1,4,0,"no",0,16,17,17,0,"no",0,16,16,16
"110","GP","F",17,"U","GT3","T",1,1,"at_home","services","course","mother",1,2,"no","no","yes","yes","yes","yes","no",5,3,3,1,1,3,0,"no",0,8,8,9,0,"no",0,12,11,12
"77","GP","F",16,"U","GT3","T",4,4,"other","other","reputation","mother",1,1,"no","no","yes","no","yes","yes","no",5,3,4,1,2,1,0,"no",6,11,14,14,0,"no",4,12,13,13
"162","GP","F",18,"U","GT3","T",4,3,"services","other","home","father",1,2,"no","yes","no","yes","yes","yes","yes",3,1,2,1,3,2,0,"yes",21,17,18,18,0,"no",2,15,15,15
"141","GP","F",17,"U","LE3","T",4,2,"teacher","services","reputation","mother",1,4,"no","yes","yes","yes","yes","yes","no",4,2,3,1,1,4,0,"yes",6,14,12,13,0,"no",2,14,15,17
"119","GP","F",17,"U","GT3","T",3,1,"services","services","course","father",1,3,"no","yes","no","no","yes","yes","no",3,4,3,2,3,5,0,"no",1,12,14,15,0,"no",0,17,18,17
"133","GP","F",17,"U","GT3","T",4,4,"teacher","teacher","course","mother",2,3,"no","yes","no","no","yes","yes","yes",4,3,3,1,2,4,0,"yes",4,14,14,14,0,"no",4,15,14,15
"358","MS","M",18,"R","GT3","T",1,3,"at_home","other","course","mother",2,2,"no","yes","no","yes","yes","no","no",3,3,4,2,4,3,0,"yes",4,10,10,10,0,"yes",0,8,10,9
"219","GP","M",16,"R","GT3","T",2,2,"at_home","other","course","mother",3,1,"no","no","no","no","yes","no","no",4,2,2,1,2,3,0,"no",2,17,15,15,0,"no",4,12,10,11
"96","GP","F",17,"R","GT3","T",2,2,"other","other","reputation","mother",1,1,"no","yes","no","yes","yes","yes","no",5,3,2,1,2,3,0,"no",18,7,6,6,0,"no",21,13,13,13
"1","GP","F",15,"R","GT3","T",1,1,"at_home","other","home","mother",2,4,"yes","yes","yes","yes","yes","yes","no",3,1,2,1,1,1,1,"yes",2,7,10,10,0,"yes",4,13,13,13
"39","GP","F",16,"R","GT3","T",2,2,"services","services","reputation","mother",2,4,"no","yes","yes","no","yes","yes","no",5,3,5,1,1,5,0,"yes",6,10,10,11,0,"no",6,13,13,13
"63","GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,"no","yes","no","yes","yes","no","no",4,3,2,1,2,5,0,"yes",4,6,10,10,0,"no",0,11,13,13
"224","GP","M",16,"R","LE3","T",3,3,"teacher","other","home","father",3,1,"no","yes","yes","yes","yes","yes","no",3,3,4,3,5,3,0,"yes",8,9,9,10,0,"no",16,10,11,12
"357","MS","M",17,"U","LE3","T",3,1,"services","services","course","mother",2,1,"no","no","no","no","yes","yes","no",2,4,5,3,4,2,0,"no",3,14,16,16,0,"no",6,10,10,10
"165","GP","F",18,"U","LE3","A",4,4,"health","other","home","mother",1,2,"no","yes","no","yes","yes","yes","yes",4,2,4,1,1,4,0,"no",14,12,10,11,0,"yes",0,14,15,15
"118","GP","F",17,"U","GT3","T",2,4,"services","services","reputation","father",1,2,"no","yes","yes","yes","yes","no","no",5,4,2,2,3,5,0,"no",0,16,17,17,0,"no",0,17,18,17
"212","GP","M",15,"U","LE3","T",3,3,"other","other","course","mother",1,2,"no","no","yes","no","yes","yes","no",5,3,2,1,1,2,0,"no",0,8,10,12,0,"no",0,13,12,12
"234","GP","M",16,"U","GT3","T",3,2,"at_home","other","reputation","mother",2,3,"no","no","yes","yes","yes","yes","yes",5,3,3,1,3,2,0,"no",10,11,9,10,0,"no",0,12,12,12
"152.1","GP","F",18,"U","GT3","T",2,1,"other","other","course","other",2,3,"no","yes","no","no","yes","yes","yes",4,4,4,1,1,3,0,"yes",0,7,0,0,0,"no",10,12,10,11
"339","MS","F",17,"U","LE3","T",4,4,"at_home","at_home","course","mother",1,2,"no","yes","yes","yes","yes","yes","yes",2,3,4,1,1,1,0,"yes",0,16,15,15,0,"no",4,15,14,15
"145","GP","F",18,"R","GT3","T",2,1,"other","other","reputation","mother",2,2,"no","yes","no","yes","no","yes","yes",4,3,5,1,2,3,0,"no",0,6,0,0,0,"no",12,8,9,10
"348","MS","F",18,"U","GT3","T",3,3,"other","other","home","mother",1,2,"no","no","no","yes","yes","yes","yes",4,1,3,1,2,1,0,"yes",0,15,15,15,0,"no",1,16,16,16
"92","GP","F",16,"U","LE3","T",4,4,"teacher","teacher","reputation","mother",1,2,"no","yes","no","yes","yes","yes","no",4,5,2,1,2,3,0,"yes",0,9,9,10,0,"no",0,11,10,11
"194","GP","M",15,"U","GT3","T",4,3,"teacher","other","course","mother",2,2,"no","yes","no","yes","yes","yes","no",5,4,3,1,2,3,0,"yes",2,10,10,11,0,"no",0,12,12,13
"123","GP","F",17,"U","GT3","T",3,3,"other","other","home","mother",1,3,"no","no","yes","no","yes","no","no",3,2,3,1,1,4,0,"no",4,10,9,9,0,"no",2,15,12,13
"293","GP","M",17,"U","LE3","T",2,2,"other","other","home","father",1,2,"no","no","yes","no","yes","yes","yes",4,4,2,5,5,4,0,"yes",4,14,13,13,0,"no",0,16,16,16
"194.1","GP","M",15,"U","GT3","T",4,3,"teacher","other","course","mother",2,2,"no","yes","no","yes","yes","yes","no",5,4,3,1,2,3,0,"yes",2,10,10,11,0,"no",0,12,12,13
"223","GP","M",16,"R","GT3","T",4,4,"teacher","teacher","course","mother",1,1,"no","no","yes","yes","yes","yes","no",3,5,5,2,5,4,0,"yes",8,18,18,18,0,"no",8,14,14,15
"60","GP","F",16,"U","GT3","T",2,3,"services","teacher","other","mother",1,2,"yes","no","no","yes","yes","yes","no",2,3,1,1,1,3,0,"no",2,16,16,17,0,"no",0,13,13,14
"21","GP","F",15,"U","GT3","T",3,2,"services","other","home","mother",2,2,"yes","yes","no","yes","yes","yes","no",4,3,5,1,1,2,0,"yes",26,7,6,6,0,"no",16,11,10,10
"75","GP","F",16,"U","GT3","T",4,4,"health","health","reputation","mother",1,2,"no","yes","no","yes","yes","yes","yes",4,4,2,1,1,3,0,"yes",0,14,14,14,0,"no",0,16,16,17
"332","MS","F",17,"R","GT3","T",1,1,"other","services","reputation","mother",3,1,"no","yes","no","yes","yes","yes","yes",5,2,1,1,2,1,1,"yes",0,7,6,0,1,"no",0,8,8,9
"340","MS","F",18,"R","GT3","T",1,1,"other","other","home","mother",4,3,"no","no","no","yes","yes","yes","no",4,3,2,1,2,4,0,"no",2,8,8,10,0,"no",4,10,11,12
"160","GP","F",18,"U","GT3","T",4,3,"other","other","course","mother",1,3,"no","yes","yes","yes","yes","yes","yes",4,3,4,1,1,5,0,"yes",9,9,10,9,0,"no",2,14,15,17
"32","GP","F",15,"U","LE3","A",3,3,"other","other","other","mother",1,1,"no","no","no","yes","yes","yes","no",5,3,4,4,4,1,0,"yes",6,10,13,13,0,"no",0,13,12,13
"111","GP","F",17,"U","GT3","T",1,1,"other","other","course","mother",1,2,"no","yes","no","no","yes","no","no",4,4,4,1,3,1,0,"yes",4,9,9,10,0,"no",0,14,15,15
"216","GP","M",15,"U","LE3","T",4,4,"teacher","other","home","other",1,1,"no","yes","no","no","yes","yes","yes",5,4,3,2,4,5,0,"no",8,12,12,12,0,"no",8,10,11,11
"37","GP","F",15,"U","LE3","T",4,2,"health","other","other","mother",1,2,"no","yes","no","yes","yes","yes","no",4,3,3,1,1,5,0,"yes",2,11,13,13,0,"no",0,16,14,16
"198","GP","M",15,"U","GT3","T",4,4,"health","health","other","father",1,1,"no","yes","no","yes","yes","yes","no",5,4,2,1,1,5,0,"yes",0,12,15,15,0,"yes",0,11,12,12
"187","GP","M",15,"U","GT3","T",3,4,"other","other","home","mother",1,2,"no","yes","yes","yes","yes","yes","no",5,5,1,1,1,5,0,"yes",0,14,15,15,0,"no",0,12,12,13
"289","GP","M",17,"U","GT3","T",4,4,"teacher","teacher","reputation","mother",1,2,"yes","yes","yes","yes","yes","yes","yes",4,5,5,1,3,2,0,"no",14,11,9,9,0,"no",0,13,13,13
"224.1","GP","M",16,"R","LE3","T",3,3,"teacher","other","home","father",3,1,"no","yes","yes","yes","yes","yes","no",3,3,4,3,5,3,0,"yes",8,9,9,10,0,"no",16,10,11,12
"188","GP","M",15,"U","GT3","T",3,4,"other","other","reputation","father",1,1,"no","no","no","yes","yes","yes","no",3,4,3,1,2,4,0,"no",6,14,13,13,0,"no",2,14,13,14
"231","GP","M",16,"U","GT3","T",2,3,"other","other","home","father",2,1,"no","no","no","yes","yes","yes","no",5,3,3,1,1,3,0,"no",0,13,14,14,0,"no",0,13,12,12
"9","GP","F",15,"R","LE3","T",3,1,"other","other","reputation","father",2,4,"no","yes","no","no","yes","yes","no",4,4,2,2,3,3,0,"no",12,16,16,16,0,"no",6,15,15,15
"12","GP","F",15,"U","GT3","T",1,1,"at_home","other","course","mother",3,1,"no","yes","yes","no","yes","yes","yes",4,3,3,1,2,4,0,"no",0,8,0,0,0,"no",6,11,12,13
"278","GP","M",17,"U","GT3","T",2,1,"other","other","home","mother",1,1,"no","yes","no","yes","yes","yes","no",5,4,5,1,2,5,3,"no",0,5,0,0,0,"no",22,9,7,6
"283","GP","M",17,"U","GT3","T",3,3,"health","other","home","mother",1,1,"no","yes","no","yes","yes","yes","no",4,4,3,1,3,5,0,"yes",4,14,12,11,0,"no",0,14,15,15
"362.1","MS","M",18,"R","LE3","T",1,2,"at_home","services","other","father",3,1,"no","yes","yes","yes","no","yes","yes",4,3,3,2,3,3,0,"yes",3,14,12,12,0,"no",3,9,10,10
"302.1","GP","M",18,"R","LE3","A",3,4,"other","other","reputation","mother",2,2,"no","yes","yes","yes","yes","yes","no",4,2,5,3,4,1,0,"yes",13,17,17,17,0,"no",6,15,16,16
"10","GP","F",15,"U","GT3","A",3,3,"other","health","reputation","father",1,4,"yes","no","no","yes","yes","no","no",4,3,3,1,1,4,0,"no",10,10,11,11,0,"no",10,10,10,10
"138","GP","F",17,"U","LE3","T",2,4,"services","services","course","father",1,2,"no","no","yes","yes","yes","yes","yes",4,3,2,1,1,5,0,"no",0,14,15,15,0,"no",8,14,15,16
"300","GP","M",18,"R","GT3","T",3,2,"other","other","course","mother",1,3,"no","no","yes","no","yes","no","no",5,3,2,1,1,3,0,"no",1,13,12,12,0,"no",2,10,11,12
"110.1","GP","F",17,"U","GT3","T",1,1,"at_home","services","course","mother",1,2,"no","no","yes","yes","yes","yes","no",5,3,3,1,1,3,0,"no",0,8,8,9,0,"no",0,12,11,12
"269","GP","M",17,"R","GT3","T",2,2,"other","other","course","father",2,2,"no","yes","yes","yes","yes","yes","no",4,5,2,1,1,1,0,"yes",4,11,11,11,0,"no",0,12,13,13
"78","GP","F",16,"U","GT3","T",4,4,"services","services","reputation","mother",1,3,"no","yes","yes","yes","yes","yes","no",3,2,3,1,2,2,0,"yes",6,13,14,14,0,"no",10,13,13,14
"28","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","father",1,2,"yes","yes","yes","no","yes","yes","no",4,4,4,1,1,3,1,"no",2,7,7,7,0,"no",2,13,12,12
"206","GP","M",15,"U","LE3","A",3,2,"services","other","home","mother",1,2,"no","yes","no","yes","yes","yes","no",4,2,2,1,1,1,0,"yes",0,16,18,19,0,"no",0,15,16,17
"157","GP","F",18,"U","GT3","T",2,3,"other","services","reputation","father",1,4,"no","yes","yes","yes","yes","yes","yes",4,5,5,1,3,2,0,"yes",4,15,14,14,0,"no",10,16,16,16
"157.1","GP","F",18,"U","GT3","T",2,3,"other","services","reputation","father",1,4,"no","yes","yes","yes","yes","yes","yes",4,5,5,1,3,2,0,"yes",4,15,14,14,0,"no",10,16,16,16
"159","GP","F",18,"U","GT3","T",3,3,"services","services","home","mother",1,2,"no","no","yes","yes","yes","yes","no",5,3,4,1,1,4,0,"no",0,7,0,0,0,"no",8,10,11,12
"103","GP","F",17,"U","GT3","A",2,1,"other","other","course","mother",2,3,"no","no","yes","yes","yes","yes","yes",3,2,3,1,2,3,0,"no",10,12,10,12,0,"no",0,15,15,16
"282","GP","M",17,"U","GT3","T",3,2,"services","services","course","mother",1,1,"no","yes","yes","yes","yes","yes","no",5,5,5,2,4,5,3,"no",16,6,5,5,3,"yes",2,8,8,7
"108","GP","F",17,"U","GT3","T",1,1,"at_home","other","course","father",1,2,"no","yes","no","no","yes","yes","no",5,3,3,1,1,3,0,"no",4,5,5,6,0,"no",2,9,11,11
"86","GP","F",16,"U","LE3","T",2,2,"services","services","course","mother",3,2,"no","yes","no","yes","yes","yes","no",4,3,3,2,3,4,0,"yes",2,12,13,13,0,"no",0,14,13,13
"25","GP","F",15,"U","GT3","T",4,4,"services","at_home","course","mother",1,3,"no","yes","yes","yes","yes","yes","yes",4,3,3,1,1,5,0,"no",0,11,0,0,0,"no",4,13,14,15
"198.1","GP","M",15,"U","GT3","T",4,4,"health","health","other","father",1,1,"no","yes","no","yes","yes","yes","no",5,4,2,1,1,5,0,"yes",0,12,15,15,0,"yes",0,11,12,12
"292","GP","M",17,"U","LE3","T",1,1,"health","other","course","mother",2,1,"no","yes","yes","yes","yes","yes","no",4,4,4,1,2,5,1,"no",2,7,9,8,1,"no",0,9,10,10
"179","GP","M",15,"U","GT3","A",2,2,"other","other","home","other",1,3,"no","yes","no","yes","yes","yes","yes",4,5,2,1,1,3,0,"no",0,14,16,16,0,"no",0,14,14,15
"336","MS","F",17,"R","GT3","T",4,4,"teacher","services","other","father",2,2,"no","yes","yes","yes","yes","yes","no",4,3,3,1,2,5,0,"yes",4,12,13,13,0,"yes",2,12,12,12
"83","GP","F",16,"U","LE3","T",2,2,"at_home","other","course","mother",1,2,"no","yes","no","yes","yes","no","no",4,3,4,1,2,2,0,"no",4,8,7,6,0,"no",6,13,11,11
"5","GP","F",15,"R","GT3","T",3,3,"services","services","reputation","other",2,3,"no","yes","yes","yes","yes","yes","yes",4,2,1,2,3,3,2,"yes",8,10,10,10,0,"yes",2,13,13,13
"264","GP","M",16,"U","LE3","T",4,3,"teacher","other","course","mother",1,1,"no","no","yes","no","yes","yes","no",5,4,5,1,1,3,0,"no",0,6,0,0,0,"no",7,14,14,15
"6","GP","F",15,"R","GT3","T",3,4,"services","health","course","mother",1,3,"yes","yes","yes","yes","yes","yes","no",4,3,2,1,1,5,0,"yes",2,12,12,11,0,"no",2,11,12,12
"153","GP","F",18,"U","GT3","T",2,1,"services","other","course","mother",2,2,"no","yes","yes","yes","yes","yes","no",5,3,3,1,2,1,0,"yes",0,8,8,0,0,"no",2,12,12,15
"102","GP","F",17,"R","LE3","T",4,4,"services","other","other","mother",1,1,"no","yes","no","yes","yes","no","no",5,2,1,1,2,3,0,"yes",12,8,10,10,0,"no",6,12,11,11
"3","GP","F",15,"R","GT3","T",2,2,"at_home","other","reputation","mother",1,1,"yes","yes","yes","yes","yes","no","no",4,3,1,1,1,2,0,"yes",8,14,13,13,0,"no",8,14,13,12
"158","GP","F",18,"U","GT3","T",3,2,"other","services","other","mother",1,3,"no","no","no","yes","yes","yes","yes",5,4,3,2,3,1,0,"no",7,13,13,14,0,"no",4,14,16,17
"97","GP","F",17,"R","GT3","T",2,4,"at_home","other","course","father",1,3,"no","yes","no","yes","yes","yes","yes",4,4,3,1,1,5,0,"no",7,12,14,14,0,"no",0,15,15,15
"263","GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",1,2,"no","yes","yes","yes","yes","yes","no",5,4,2,1,2,5,0,"yes",10,15,15,15,0,"no",6,12,12,13
"77.1","GP","F",16,"U","GT3","T",4,4,"other","other","reputation","mother",1,1,"no","no","yes","no","yes","yes","no",5,3,4,1,2,1,0,"no",6,11,14,14,0,"no",4,12,13,13
"169","GP","F",18,"U","LE3","T",4,3,"other","other","home","other",2,2,"no","yes","no","yes","yes","yes","yes",4,4,5,1,2,2,0,"yes",10,10,8,8,0,"no",0,13,14,14
"369","MS","M",19,"R","GT3","T",1,1,"other","services","home","other",3,2,"no","no","no","yes","yes","yes","no",5,4,4,3,3,2,3,"no",8,8,7,8,1,"no",8,10,9,11
"201","GP","M",15,"U","GT3","T",4,4,"services","other","course","mother",1,1,"no","yes","yes","no","yes","yes","no",5,3,3,1,1,5,0,"no",4,10,13,14,0,"yes",2,12,13,12
"223.1","GP","M",16,"R","GT3","T",4,4,"teacher","teacher","course","mother",1,1,"no","no","yes","yes","yes","yes","no",3,5,5,2,5,4,0,"yes",8,18,18,18,0,"no",8,14,14,15
"305","GP","M",18,"U","GT3","T",2,1,"other","other","home","mother",1,2,"no","no","yes","yes","yes","yes","no",5,2,4,1,2,4,0,"no",8,15,14,14,0,"no",2,16,16,16
"258.1","GP","M",16,"U","LE3","T",2,2,"other","other","home","mother",1,2,"no","no","no","yes","yes","yes","no",4,4,4,1,1,3,0,"no",0,12,12,11,0,"no",0,13,12,13
"6.1","GP","F",15,"R","GT3","T",3,4,"services","health","course","mother",1,3,"yes","yes","yes","yes","yes","yes","no",4,3,2,1,1,5,0,"yes",2,12,12,11,0,"no",2,11,12,12
"94","GP","F",17,"R","GT3","T",2,1,"at_home","services","course","mother",3,2,"no","no","yes","yes","yes","no","no",2,1,1,1,1,3,0,"no",2,13,11,11,0,"no",2,13,13,13
"86.1","GP","F",16,"U","LE3","T",2,2,"services","services","course","mother",3,2,"no","yes","no","yes","yes","yes","no",4,3,3,2,3,4,0,"yes",2,12,13,13,0,"no",0,14,13,13
"186","GP","M",15,"U","GT3","T",2,3,"other","services","course","father",1,1,"yes","yes","yes","no","yes","yes","yes",3,2,2,1,3,3,0,"yes",2,10,12,12,0,"no",0,11,11,12
"14","GP","F",15,"U","GT3","T",1,1,"other","services","course","father",1,2,"no","yes","no","yes","yes","yes","no",4,4,2,1,2,5,0,"yes",0,8,11,11,0,"no",0,12,12,12
"84","GP","F",16,"U","LE3","T",2,2,"other","at_home","course","father",2,2,"yes","no","yes","yes","yes","yes","no",4,3,3,2,2,5,1,"no",14,10,10,9,1,"no",14,10,11,11
"208","GP","M",15,"U","LE3","A",4,4,"teacher","teacher","course","mother",1,1,"no","no","yes","yes","yes","yes","no",5,5,3,1,1,4,0,"no",6,18,19,19,0,"no",4,13,14,14
"91","GP","F",16,"U","LE3","T",4,4,"health","health","other","mother",1,3,"no","yes","yes","yes","yes","yes","yes",5,4,5,1,1,4,0,"yes",4,14,15,16,0,"no",2,15,15,14
"230","GP","M",16,"U","GT3","T",2,2,"services","other","reputation","father",2,2,"no","no","yes","no","yes","yes","no",4,4,2,1,1,3,1,"yes",12,11,10,10,0,"no",6,12,10,11
"128","GP","F",17,"U","GT3","T",4,3,"health","services","reputation","mother",1,3,"no","yes","no","yes","yes","yes","no",4,2,2,1,2,3,0,"yes",0,15,15,15,0,"no",0,17,18,18
"306","GP","M",18,"U","GT3","T",2,1,"services","services","other","mother",1,1,"no","no","no","no","no","yes","no",3,2,5,2,5,5,1,"no",4,6,9,8,2,"no",4,7,8,6
"43","GP","F",16,"U","GT3","A",2,2,"other","other","reputation","mother",1,2,"yes","yes","no","yes","yes","yes","no",3,3,4,1,1,4,0,"yes",0,12,13,14,0,"no",0,13,13,13
"352","MS","F",18,"U","LE3","T",3,1,"teacher","services","course","mother",1,2,"no","yes","no","yes","yes","yes","no",4,3,4,1,1,1,0,"yes",0,7,9,8,0,"no",4,15,15,16
"255","GP","M",16,"U","LE3","T",1,1,"services","other","course","mother",1,2,"no","no","no","yes","yes","no","yes",4,4,4,1,3,5,1,"no",0,14,12,12,2,"no",0,10,10,10
"58","GP","F",16,"U","GT3","T",2,3,"other","other","reputation","mother",1,2,"yes","yes","yes","yes","yes","no","no",4,4,3,1,3,4,0,"yes",6,8,10,10,0,"no",4,11,12,12
"137","GP","F",17,"U","LE3","T",2,2,"services","services","course","father",1,4,"no","no","yes","yes","yes","yes","yes",3,4,1,1,1,2,0,"yes",0,10,9,0,0,"no",2,10,11,12
"183","GP","M",15,"U","GT3","T",2,2,"services","services","course","father",1,1,"yes","yes","no","yes","yes","yes","no",5,4,1,1,1,1,0,"no",0,8,8,11,0,"no",0,9,10,10
"87","GP","F",16,"U","LE3","T",2,4,"other","health","course","father",2,2,"no","yes","yes","yes","yes","yes","yes",4,2,2,1,2,5,0,"yes",2,13,13,13,0,"no",2,14,12,13
"350","MS","F",18,"U","GT3","T",3,3,"services","services","other","mother",2,2,"no","yes","no","yes","yes","yes","yes",4,3,2,1,3,3,0,"no",0,11,11,10,0,"no",6,13,12,13
"205","GP","M",15,"U","LE3","A",2,1,"services","other","course","mother",4,1,"no","no","no","yes","yes","yes","no",4,5,5,2,5,5,3,"no",0,8,9,10,0,"no",0,12,11,11
"258.2","GP","M",16,"U","LE3","T",2,2,"other","other","home","mother",1,2,"no","no","no","yes","yes","yes","no",4,4,4,1,1,3,0,"no",0,12,12,11,0,"no",0,13,12,13
"24","GP","F",15,"U","GT3","T",4,3,"services","other","reputation","mother",1,1,"no","no","yes","yes","yes","yes","no",4,5,5,1,3,1,0,"yes",4,16,17,18,0,"no",6,14,13,13
"320","GP","M",18,"U","LE3","T",1,1,"other","other","course","mother",1,1,"no","no","no","yes","no","yes","yes",2,3,5,2,5,4,3,"no",0,6,5,0,2,"no",0,11,9,0
"271","GP","M",17,"R","GT3","T",3,4,"at_home","other","course","mother",3,2,"no","no","no","yes","yes","no","no",5,4,5,2,4,5,0,"no",0,10,0,0,0,"no",2,10,9,10
"133.1","GP","F",17,"U","GT3","T",4,4,"teacher","teacher","course","mother",2,3,"no","yes","no","no","yes","yes","yes",4,3,3,1,2,4,0,"yes",4,14,14,14,0,"no",4,15,14,15
"209.1","GP","M",15,"U","LE3","T",1,2,"other","at_home","home","father",1,2,"yes","yes","yes","yes","yes","yes","no",4,3,2,1,1,5,0,"no",2,9,10,9,0,"no",0,14,13,14
"256","GP","M",16,"U","LE3","T",2,1,"at_home","other","course","mother",1,1,"no","no","yes","yes","yes","no","yes",4,4,4,3,5,5,1,"no",6,12,13,14,1,"no",6,9,10,10
"293.1","GP","M",17,"U","LE3","T",2,2,"other","other","home","father",1,2,"no","no","yes","no","yes","yes","yes",4,4,2,5,5,4,0,"yes",4,14,13,13,0,"no",0,16,16,16
"53","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,"no","no","no","yes","yes","yes","yes",5,4,4,1,1,5,0,"yes",0,8,7,8,0,"no",0,12,11,11
"332.1","MS","F",17,"R","GT3","T",1,1,"other","services","reputation","mother",3,1,"no","yes","no","yes","yes","yes","yes",5,2,1,1,2,1,1,"yes",0,7,6,0,1,"no",0,8,8,9
"177","GP","M",15,"R","GT3","T",4,3,"teacher","at_home","course","mother",1,2,"no","yes","yes","yes","yes","yes","yes",4,5,2,1,1,5,0,"no",0,17,16,16,0,"no",0,13,14,15
"167","GP","F",18,"U","LE3","T",2,2,"other","other","home","other",1,2,"no","no","yes","no","yes","yes","yes",4,3,3,1,1,2,0,"no",0,8,8,0,0,"no",0,10,9,12
"152.2","GP","F",18,"U","GT3","T",2,1,"other","other","course","other",2,3,"no","yes","no","no","yes","yes","yes",4,4,4,1,1,3,0,"yes",0,7,0,0,0,"no",10,12,10,11
"180","GP","M",15,"U","GT3","A",3,4,"services","other","course","mother",1,2,"no","yes","yes","yes","yes","yes","no",5,4,4,1,1,1,0,"yes",0,16,18,18,0,"no",0,16,16,16
